data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
395187,3119,8.045588280803528,High,1.6153242010938926,-1.5125086116847326,-0.32273957024573297,-0.6594523437818435,-1.5980361824647868,0,1,139,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
25921,4992,8.51579221050061,High,1.808793618231023,-1.5125086116847326,-0.32273957024573297,-0.6594523437818435,-1.5980361824647868,0,1,139,44,1,1,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
205906,2113,7.656337166430183,High,1.4551635102500173,-1.5125086116847326,-0.32273957024573297,-0.6594523437818435,0.6249303506845532,1,1,139,44,1,1,Low,Medium,0,0,0,1,0,0,0,0,0,1,0,0,1,0
598577,21.9,3.131136910560194,Low,-0.40676872944005366,0.6602681824085275,-0.32273957024573297,-0.5015040334016434,-1.5980361824647868,0,1,29,56,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
397915,19.3,3.0106208860477417,Low,-0.45635607557969393,0.6602681824085275,-0.32273957024573297,-0.5015040334016434,0.6249303506845532,1,1,29,72,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
598578,2912,7.976938756959434,High,1.5870777690119344,-1.5125086116847326,-0.32273957024573297,-0.5015038809399712,-1.5980361824647868,0,1,128,56,1,1,Low,Medium,0,1,0,0,0,1,0,0,0,0,0,0,1,0
384931,4740,8.464003362902119,High,1.7874846551912231,-1.5125086116847326,-0.32273957024573297,-0.5015038809399712,0.6249303506845532,1,1,128,72,1,1,Low,Medium,0,0,1,0,0,1,0,0,0,0,0,0,1,0
139860,2958,7.99260665240021,High,1.593524458218988,-1.5125086116847326,-0.32273957024573297,-0.501503728478299,-1.5980361824647868,0,1,129,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
26068,4797,8.47595444339964,High,1.7924020291899982,-1.5125086116847326,-0.32273957024573297,-0.501503728478299,0.6249303506845532,1,1,129,44,1,1,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
450750,81.9,4.417635062141249,Medium,0.12257190728054818,0.6602681824085275,-0.32273957024573297,-0.5015035760166269,-1.5980361824647868,0,1,27,15,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
665172,78.2,4.37197629882038,Medium,0.10378521969888213,0.6602681824085275,-0.32273957024573297,-0.5015035760166269,0.6249303506845532,1,1,27,22,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
457030,637,6.45833828334479,High,0.9622366523422562,-1.5125086116847326,-0.32273957024573297,-0.5015032710932825,-1.5980361824647868,0,1,134,15,1,1,Low,Small,0,1,0,0,0,1,0,0,0,0,0,0,1,0
658945,913,6.81783057145415,High,1.1101528203134974,-1.5125086116847326,-0.32273957024573297,-0.5015032710932825,0.6249303506845532,1,1,134,22,1,1,Low,Small,0,0,1,0,0,1,0,0,0,0,0,0,1,0
320333,607,6.410174881966167,High,0.9424194100702344,-1.5125086116847326,-0.32273957024573297,-0.5015031186316103,-1.5980361824647868,0,1,135,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
32724,862,6.760414691083428,High,1.08652856664787,-1.5125086116847326,-0.32273957024573297,-0.5015031186316103,0.6249303506845532,1,1,135,44,1,1,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
